# k[h/Mpc]   P_delta,delta   P_delta,theta   P_theta,theta 
0.004955350285344017   15478.642756698158    15471.076579724035   15463.732115466204
0.0049776211125177085   15527.05187828533    15519.394763947073   15511.962851008411
0.004999992031453725   15575.51995366896    15567.770861870787   15560.250513051276
0.005022463491994401   15624.046183729066    15616.204063453679   15608.59428135913
0.005045035946003798   15672.629761612121    15664.693550769596   15656.993327785605
0.005067709847376788   15721.269873238962    15713.238498613735   15705.446816741165
0.005090485652048188   15769.96569713586    15761.838074273657   15753.953905049499
0.005113363818001909   15818.716404214789    15810.491437320996   15802.513741792141
0.005136344805280192   15867.521158395699    15859.197740277665   15851.12546887988
0.00515942907599284   15916.379115794678    15907.9561276843   15899.788220084254
0.0051826170943265176   15965.289425208555    15956.765736723817   15948.501121816304
0.005205909326554082   16014.25122798036    16005.625697018604   15997.2632928519
0.005229306241043966   16063.263657812824    16054.535130420783   16046.073844027087
0.005252808308269573   16112.325688941262    16103.492998986781   16094.9317260948
0.0052764160008187755   16161.436567696608    16152.498536327805   16143.836160881769
0.0053001297934033844   16210.595423230081    16201.550859458772   16192.786254077791
0.005323950162868713   16259.8013593168    16250.649059752594   16241.781085666806
0.005347877588203159   16309.053471845273    16299.79222078978   16290.819727736265
0.00537191255054784   16358.350849843955    16348.97941905481   16339.90124518034
0.005396055533206255   16407.692574257308    16398.209722848354   16389.02469461825
0.005420307021654025   16457.077718716522    16447.48219311278   16438.18912520958
0.00544466750354864   16506.505349070907    16496.79588285379   16487.393578141513
0.005469137468739269   16555.974509999523    16546.149823819065   16536.63707317899
0.00549371740927661   16605.484210825234    16595.543012318423   16585.918594574712
0.005518407819422788   16655.033449331047    16644.97443296773   16635.237114856114
0.005543209195661274   16704.621215315063    16694.44306239803   16684.591598393763
0.005568122036706902   16754.246287404774    16743.947665493495   16733.980797510303
0.0055931468435158746   16803.907809276658    16793.487371666106   16783.40382833259
0.005618284119295839   16853.604769944326    16843.06115628208   16832.859653617266
0.005643534369516009   16903.33612635017    16892.667962511154   16882.347203863526
0.005668898101917336   16953.100827466864    16942.30672549036   16931.865401425766
0.00569437582652269   17002.8978140447    16991.976371984816   16981.41316019675
0.00571996805564716   17052.72601873598    17041.6758206176   17030.989385846562
0.005745675303908321   17102.584366241113    17091.4039818097   17080.592975754247
0.005771498088236594   17152.47177285845    17141.159757683527   17130.222818767783
0.005797436927885643   17202.387146938574    17190.942042082734   17179.877795563763
0.005823492344442814   17252.329388554994    17240.749720547974   17229.55677831679
0.005849664861839613   17302.297389812793    17290.581670532298   17279.258631099998
0.005875955006362262   17352.290034748035    17340.436761405912   17328.982209556103
0.005902363306662266   17402.305982602764    17390.313637219395   17378.726143919328
0.005928890293767051   17452.34422170935    17440.211270067422   17428.48939141433
0.0059555365010906395   17502.4036948171    17490.128587499537   17478.27086538886
0.005982302464444367   17552.48325314861    17540.064425328284   17528.069387666994
0.006009188722047674   17602.581739779158    17590.01761119876   17577.883771678655
0.006036195814538922   17652.69797502876    17639.986949937844   17627.712808016717
0.006063324284986258   17702.830732487266    17689.971199466254   17677.555240286703
0.006090574678898542   17752.97877041618    17739.969102255054   17727.409796578657
0.006117947544236318   17803.14083852868    17789.979392225523   17777.275196219827
0.006145443431422814   17853.315677870225    17840.000794368738   17827.15014964333
0.006173062893355043   17903.502020372056    17890.032024644985   17877.033357995526
0.00620080648541489   17953.69858948355    17940.07179025192   17926.923513785958
0.0062286747654803   18003.904099855255    17990.118789412005   17976.819300320687
0.006256668293936484   18054.11711073698    18040.17156504918   18026.719245402823
0.006284787633687201   18104.336201717004    18090.228678639247   18076.621894046657
0.006313033350166047   18154.560309304827    18140.28904944125   18126.526149397363
